읍면동 명,도로명 주소,단지 명,위도 좌표,경도 좌표,종량제 수거함 수,재활용 수거함 수,유리병 수거함 수,스티로폼 수거함 수,폐기 건전지 수거함 수,폐기 형광등 수거함 수,음식물 수거함 수,음식물 계량 수거함 수,CCTV 설치 수,등록 일시
한림읍,제주특별자치도 제주시 한림읍 한림리 1328-62,리사무소 앞,33.4161044,126.2623762,4,5,1,1,1,1,4,1,4,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림리 1531-4,영신연립 옆 한흥블럭사,33.4109181,126.2637854,2,4,1,1,1,1,3,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림리 1450-2,왕수학교실 삼거리 (회성푸르니 아파트 앞),33.4123575,126.2642119,3,3,1,1,1,1,3,1,4,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 귀덕8길 10,사동 매역동산(귀덕8길10),33.4411762,126.2903762,2,3,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 대림리 1298-1,대림하동길 마을 끝,33.4270475,126.2796051,1,2,1,0,,,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 명랑로4길 2,감협 맞은편(명랑로 16),33.4145117,126.2666645,3,3,1,1,1,1,3,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 동명리 1540-11,한림공고 후문 옆,33.4056819,126.2688903,2,3,1,2,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림남1길 29,산아진동산(한림남1길29),33.4123124,126.2676736,2,4,1,1,1,1,2,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 금악리 2234-1,금악리 농협창고 주변,33.361485,126.2957979,1,2,1,1,1,1,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 대림리 1814,천주교 버스정류소 옆,33.4178018,126.2651617,3,3,1,1,1,1,3,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 귀덕리 2453-3,신서동 집하장 앞,33.4282418,126.289211,1,3,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 월림리 291-8,구 부녀회관 뒤,33.3486676,126.2564392,2,3,1,1,1,1,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 귀덕리 4070,리사무소 옆,33.4411608,126.2792589,2,3,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 귀덕리 228-3,천호제일사료 주차장,33.4212329,126.2982417,1,2,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한수풀로 337,리사무소앞 광장,33.4190441,126.2961915,1,2,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 수원리 960-6,한림빌라 맞은편 동쪽,33.428143,126.2639745,2,3,1,1,1,1,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림리 915-9,체육관입구 아래쪽 도로(백부장집),33.4089746,126.2662239,3,4,1,1,1,1,3,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림로 741,노인회관 내부,33.4210826,126.2641115,2,3,1,1,1,1,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 상명리 211-12,조성동 삼거리,33.3519841,126.277299,1,3,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한수리 920-14,한수리 해안도로변,33.422678,126.26256,2,2,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 강구로 26,삼손가든 아래,33.4109595,126.2713441,1,3,1,1,1,1,2,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 대림로 34,리사무소앞 저온저장고,33.4229587,126.2807681,2,2,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 대림리 1468-1,서동 일주도로변 소공원,33.4245012,126.277607,2,3,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 중산간서로 4956,리사무소 내부,33.4077903,126.2938831,2,3,1,1,1,1,2,1,,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림리 1248-1,한림리 1246-1번지 앞,33.415112,126.269164,2,3,1,1,1,1,2,1,4,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 동명리 175-4,문수동 선과장앞 안전지대,33.3856367,126.2834166,1,2,1,1,1,1,2,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 명월리 1191,명월리 1191 명월로 옆,33.3760414,126.2776239,1,2,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 사가동길 18,억소리갈비 옆(노인회관 뒤),33.415647,126.2632878,2,3,1,1,1,1,2,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 중산간서로 4292,금악 GS25 맞은편,33.3580868,126.2945145,2,3,1,1,1,1,2,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 귀덕리 1893-1,신서동 동동네 삼거리 부근,33.427801,126.2926279,1,2,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 상명리 1028-1,상명리 1028-1앞,33.358093,126.2724546,1,2,1,1,1,1,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 대림리 578-7,리사무소 옆길 한림3리 입구,33.4214623,126.2823674,1,2,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 금악리 2048-2,새물통 삼거리,33.3577443,126.2981294,1,2,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 옹포리 323-3,영농법인 삼다 옆 골목,33.4060445,126.2567052,2,3,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 협재리 2514-19,통물 옆,33.3927208,126.2409092,3,3,1,1,1,1,3,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림리 1494,유성빌라 앞,33.4097891,126.2609242,3,3,1,1,1,1,3,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 협재리 2447-45,해수욕장 동측 주차장,33.3947345,126.2413941,2,4,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 협재리 2447-11,해수욕장 서측 주차장,33.3932028,126.240066,3,3,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 금능리 1494-17,포구 앞 공터,33.3894839,126.2289103,2,2,1,1,1,1,2,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 월령1길 11,리사무소 내부,33.3760441,126.2157787,1,2,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 대림리 456-2,광이동 입구 공터,33.4214559,126.2781537,2,3,1,1,1,1,2,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림리 1388-3,한림고물상 앞(주민자치센터 뒤),33.4125569,126.2624746,2,3,1,2,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 월각로 6,귀덕3리 농산물집하장 내,33.4170577,126.2964506,2,3,1,1,1,1,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 대림리 2019-13,이시돌사료공장 옆 (한수중계펌프장 골목),33.4188733,126.2632345,2,2,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 귀덕리 3127-1,귀덕2리 해안도로변,33.4423065,126.2834286,2,3,1,1,1,1,2,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 협재리 1937-3,별빛두 방울펜션 북측,33.3960562,126.247689,2,4,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 옹포리 618-6,,33.401114,126.252751,2,2,1,1,1,1,1,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 귀덕리 2255-6,대림~귀덕3리 입구,33.4180444,126.2913453,1,2,1,1,1,1,1,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 귀덕리 976-7,,33.445586,126.29475,2,3,1,1,1,1,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 고도물길 10,농협 농기계수리센터 위,33.4106677,126.2587254,2,3,1,1,1,1,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 명월리 2089-5,한림고 입구 사거리(국도변)      ,33.3963939,126.2603165,2,2,1,1,1,1,3,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한수풀로4길 10,오일시장 내,33.4199893,126.2748514,3,3,1,1,1,1,2,1,4,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림해안로 538,켄싱턴리조트  해안도로변,33.4370493,126.2750061,2,3,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림해안로 485,어촌계회관 뒤편,33.4358881,126.2723839,1,2,1,1,1,1,1,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한수3길 13,한수관광어촌지원센터 뒤,33.4201038,126.2627611,2,2,1,1,1,1,2,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 옹포리 500-9,옹포횟집 앞,33.4043055,126.2518954,2,2,1,1,1,1,2,1,4,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 월령리 317-1,월령리 포구 공터,33.3785225,126.2163009,2,3,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 동명리 1601-2,삼일식당 사거리,33.4084648,126.2638503,2,3,1,1,1,1,4,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 귀덕리 1645-3,성로삼거리,33.4337283,126.2962497,2,3,1,1,1,1,1,1,3,2024-11-06
한림읍,제주특별자치도 제주시 귀덕리 4109-1,,33.442484,126.278486,1,2,1,1,1,1,2,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 대림리 276-5,한림3리 마을회관 앞,33.4124849,126.2843724,1,2,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 동명리 1324-2,관정 옆 공터,33.3973158,126.2655081,2,3,1,1,1,1,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 월령안길 27,올레길 주차장,33.376204,126.2143221,1,3,1,1,1,1,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 대림리 1882-5,한수풀도서관 입구 맞은편,33.4195095,126.2676524,2,3,1,1,1,1,2,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 대림리 1776-1,대명종합타일,33.4173789,126.268263,3,3,1,1,,,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 동명리 664-15,서부소방서 앞 대도로변,33.402302,126.2707776,2,2,1,1,,,,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한수리 845-2,한수리 정류소 옆,33.4220336,126.2644513,1,2,1,0,,,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 대림리 676-5,입전동 정자 주변,33.4243844,126.285231,1,2,1,1,,,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 대림리 1901-10,한림순복음교회 앞,33.420036,126.2655616,2,2,1,1,,,1,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림리 1421-2,중앙약국 옆,33.4145354,126.2643151,2,2,1,1,,,2,1,3,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림리 1213-2,김밥천국 옆 주차장,33.4143125,126.2647092,2,3,1,1,,,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림리 1232-1,감협 뒤 공터,33.4150159,126.2670245,1,3,1,1,,,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림리 175-10,리사무소 앞,33.4087413,126.277502,1,2,1,1,,,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 산록남로 60,이시돌 주택 주차장,33.3434132,126.3231524,2,4,1,1,,,,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 상명리 1111-2,리사무소 맞은편 도로,33.3593541,126.2707905,1,2,1,1,,,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 상명리 1758-1,동카름,33.3634148,126.268632,1,2,1,1,,,1,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 협재리 1894,일주도로 하얀집간판 앞,33.396573,126.2437817,2,2,1,1,,,3,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 협재리 1910-1,협재칼국수 옆 주차장,33.3966635,126.2438133,,,,0,,,,,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 금능농공길 50,금능농공단지 삼다 삼거리,33.3593607,126.2435237,1,2,1,1,,,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 금능농공길 64,금능농공단지 대산파이프 삼거리,33.3584209,126.2428826,2,2,1,1,,,2,1,2,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 금악남1길 40,성산교회 사거리,33.3596979,126.2983524,1,2,1,0,,,,,,2024-11-06
한림읍,제주특별자치도 제주시 한림읍 한림중앙로 71-9,한림체육관 내부,33.4094888,126.2685125,2,4,1,0,,,,,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀2리 1436-20,고성천 앞,33.4822913,126.4056515,2,2,1,0,0,0,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광령리 2429,애월읍 영송학교 북측,33.452614,126.4345962,2,3,1,0,1,1,1,1,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 금성리 756-1,금성리(상동) 756-1 창고,33.439189,126.3015531,1,3,1,1,1,1,1,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 봉성리 3080-9,녹근로 39 맞은편,33.414763,126.3146534,2,2,1,1,1,1,1,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 어음리 3642-1,어음1리사무소 앞,33.4168019,126.3310059,2,3,1,1,1,1,1,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 납읍리 1753-4,중앙슈퍼 옆,33.4398091,126.3295902,2,3,1,1,1,1,1,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 1629-6,동귀어촌계횟집 앞,33.4862271,126.4087591,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀2리 1752-5,하귀2리 1752-5 (그린마트 앞),33.4805226,126.4009751,3,3,1,1,0,0,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광령리 2807-20,UTS 골프빌리지 앞,33.4305177,126.4338602,3,2,1,1,1,1,1,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 신엄8길 11-3,경림산업 앞,33.4705006,126.3677093,2,3,1,1,1,1,1,1,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 신엄리 1728-1,용흥2길2 맞은편 무료주차장,33.462077,126.3684492,2,2,1,1,1,1,0,1,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광령리 1276-2,순두물 옆,33.4607963,126.4401122,3,3,1,2,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광성로 277,광령한마음새마을금고 주차장,33.4605718,126.4363876,3,3,1,1,1,1,1,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하광로 473,광령2리사무소,33.4490134,126.4295033,2,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광령자종길 1,광령리 3798-16,33.4639736,126.4232193,2,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 고성6길 4,,33.4582647,126.4153195,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 유수암리 1898-3,보건소(유수암평화길14-2)맞은편,33.4411452,126.4024227,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 수산리 1914-1,수산리 1914-1번지 앞 도로,33.4699581,126.3843671,2,3,1,1,1,1,0,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하소로 163,수산리 경로당 부지 안쪽,33.4668778,126.3933843,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 예원로 103,상귀리 1572-2,33.460663,126.3980068,2,2,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 엄수로 165,엄수로165,33.468721,126.389462,3,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 상귀리 113,,33.4729059,126.4091502,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 338,윤정빌리지 서측,33.488995,126.415854,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 애납로 161,,33.4398333,126.3280631,2,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 1650-4,동귀어촌계횟집 동측,33.4872671,126.4089603,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 498-5,리사무소북측,33.4868848,126.4102585,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀2리 2988-2,번대동회관(번대동길 20-1)남쪽,33.4767682,126.3917861,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀로 72,임닛물 앞새마을금고 맞은편,33.4812773,126.4046326,3,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀2리 1926-7,하귀2리 3018-9 소왕천 주차장 옆,33.4795192,126.4005164,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀2리 1892-3,하귀2리사무소주차장,33.4790855,126.4034417,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 가문동길 50,가문동포구 팔각정옆,33.4867591,126.3924821,2,3,1,1,,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 신엄리 1005-3,어촌계공동창고 앞,33.4759118,126.3664431,3,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 신엄9길 22-2,리사무소(신엄9길24) 동측,33.4737073,126.3680124,2,2,1,1,1,1,0,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 납읍리 1622-4,,33.4381039,126.3337147,2,2,1,1,1,1,1,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 신엄안3길 46,섯동네,33.4738863,126.3622704,2,3,1,1,1,1,0,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 신엄리 2871,고스트타운 입구,33.476745,126.3557446,2,3,1,1,1,1,0,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 유수암리 1046-5,,33.4220171,126.4073731,4,3,1,1,1,1,3,1,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 납읍리 2420-2,부농삼거리,33.4370336,126.3280108,3,3,1,1,1,1,1,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 123-10,비바리짬뽕(하귀3길 35)옆,33.486139,126.4158918,3,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 봉성리 3816-4,리사무소 옆,33.4215433,126.3126978,2,4,1,1,1,1,1,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 고성3길 10,농산물간이집하장 앞,33.4589573,126.4142714,2,2,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 봉성리 4188-1,연못 앞,33.4136406,126.3109771,2,2,1,1,1,1,1,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 271-4,하귀1리 271-4 도로,33.4898164,126.4192993,4,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 146-1,동귀카센터 근처,33.4869192,126.4183531,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 156-5,망고레이길건너편,33.484402,126.4168322,2,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 수산리 531-1,하소로136도로,33.4695771,126.3946611,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광령7길 13,광령7길 13 옆,33.4621169,126.4382269,2,2,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 238-4,어린이공원 남측 주차장,33.481432,126.4137571,2,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 봉성리 3248-2,신명동,33.4174453,126.3172251,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 115,바글바글식당 주변,33.4873311,126.4163243,2,2,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광령8길 33,광령8길 33 앞,33.4580247,126.4400484,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 봉성리 3375-1,구몰동,33.4251066,126.3132031,2,3,1,1,1,1,1,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 신엄리 755-4,구엄초뒷편,33.4728837,126.3741114,2,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀2리 2615-6,시드니호텔(가문동길4) 앞,33.4835116,126.3958396,2,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀2리 2799-2,고우니식당 앞(애월해안로 857),33.4882133,126.3897574,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 상귀리 257-4,동동네,33.4737166,126.4113733,2,2,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 고성리 1449-1,보르미마을,33.4655186,126.4097432,2,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 어음리 3483-2,,33.4116939,126.3334132,2,3,1,1,1,1,1,1,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광령리 산 24-3,길하우스 인근 주차장,33.4545069,126.4393051,2,2,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 납읍리 1609-5,,33.4384698,126.3317237,3,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 유수암리 2017-3,광상로 310 동측도로,33.4432579,126.400671,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광령북7길 71,광령초원빌라 앞(광령북7길 71),33.4654906,126.4376032,2,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광령리 2607-6,관광대체육관옆(광령리 2615),33.4462626,126.4334415,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광령5길 18,광령5길 18번지 앞,33.4622305,126.4356593,2,3,1,1,1,1,2,1,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 상귀리 1279-2,소앵동(상귀리 1357),33.4643537,126.4022762,2,2,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 유수암리 1574-4,거문덕이,33.4310062,126.3997191,2,3,1,1,1,1,0,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀2리 2122-4,하귀동민회관 옆(학원동),33.4732436,126.400095,2,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하광로 208,"예평교회, 둥지어린이집 주변",33.469536,126.4194839,2,3,1,1,0,0,1,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀로23길 58,하귀2리 2101-3 도로,33.4750571,126.4036937,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 애월리 415-2,애월중 북측길,33.4655689,126.3240556,8,8,1,1,0,0,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 437-4,후거프라이빗펜션 주변,33.4891227,126.4114069,2,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 1367-2,안남동 인근,33.4830215,126.407435,3,3,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 학원동길 4,하귀2리 3020 도로 퐁낭아래,33.473254,126.3966335,2,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 소길리 793-3,소길운동장 위쪽 삼거리,33.4345034,126.3795023,3,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 사라길 133,사라길 133 앞,33.4704682,126.4448982,2,2,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 항몽로 95,상귀반석,33.4758599,126.4090911,2,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀2리 2444-1,교회교육원(하귀26길 4-1),33.4797176,126.3956994,2,2,1,1,1,1,2,1,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 고내리 216-1,애월119센타,33.4666631,126.3491983,2,4,1,1,1,1,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광령리 2602-1,한라주유소옆,33.4450929,126.4335472,2,3,1,1,1,1,1,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 항몽로 3,새마을금고 북측,33.4831256,126.4042588,2,2,1,1,0,0,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 53-5,묘연사 주변,33.4846925,126.4203006,1,2,1,1,0,0,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 봉성리 4096-4,서성동,33.4172102,126.311202,2,3,1,1,0,0,0,1,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 금성리 599-4,,33.4447696,126.3003942,,,,0,,,2,1,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광성로 276,광령초등학교 후문,33.4592009,126.4359805,2,3,1,1,1,1,2,0,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 일주서로 6349,애월체육관,33.4632802,126.3326126,2,4,1,1,,,1,0,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 일주서로 6322,애월읍사무소 동측 주차장,33.4623795,126.3299371,3,2,1,1,0,0,0,0,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 광령리 955-9,광령리 956건물 건너편 북동쪽,33.4507129,126.4384374,,,,0,,,,,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 금성2길 24,리사무소,33.442189,126.3008423,1,2,1,0,0,0,1,0,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 구몰동길 65,선운정사 앞,33.4295023,126.307496,1,2,1,0,0,0,0,0,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 봉성로3길 17,중화동회관 앞,33.4192475,126.3107281,1,2,1,0,0,0,1,0,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 납읍리 1595-2,,33.4373758,126.3317536,2,2,1,1,0,0,1,0,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 신엄리 725-1,신엄리 725-1번지 앞 도로,33.4693411,126.3725077,1,2,1,0,0,0,0,0,2,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 용흥2길 39,용흥리 향기마을 자연체험장,33.4604384,126.3664563,1,2,1,0,0,0,1,0,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 하귀1리 1603-1,세한빌라 앞쪽,33.4848027,126.4056914,2,2,1,1,0,0,1,0,,2024-11-06
애월읍,제주특별자치도 제주시 애월읍 답동3길 18,하귀2리 1225-2 도로,33.4763525,126.4065573,2,2,1,1,0,0,2,0,,2024-11-06
